[1/26] eurusd...
[2/26] gbpusd...
[3/26] audusd...
[4/26] nzdusd...
[5/26] usdcad...
[6/26] usdchf...
[7/26] eurgbp...
[8/26] euraud...
[9/26] eurcad...
[10/26] eurchf...
[11/26] eurnzd...
[12/26] audnzd...
[13/26] audcad...
[14/26] audchf...
[15/26] gbpaud...
[16/26] gbpcad...
[17/26] gbpchf...
[18/26] gbpnzd...
[19/26] usdjpy...
[20/26] eurjpy...
[21/26] gbpjpy...
[22/26] audjpy...
[23/26] cadjpy...
[24/26] chfjpy...
[25/26] nzdjpy...
[26/26] gold...

=== DAILY — level reaction summary (min 50 touches) ===
 level  is_key  n_touches  pct_continuation  avg_continuation_pips  avg_reversion_pips  avg_fade_pnl_pips  pct_mean_reversion  p_value  significant
  -9.5   False        153              39.2                   56.6                67.3               14.1                60.8      0.0         True
  -9.0   False        177              40.1                   55.4                62.2               12.9                59.9      0.0         True
  -8.5   False        216              44.4                   51.6                53.7                8.2                55.6      0.1        False
  -8.0   False        260              43.8                   49.2                52.5                9.4                56.2      0.0         True
  -7.5   False        320              42.5                   46.3                55.1               15.0                57.5      0.0         True
  -7.0   False        397              42.8                   44.0                53.1               12.6                57.2      0.0         True
  -6.5   False        483              43.5                   42.9                50.8                9.9                56.5      0.0         True
  -6.0   False        596              44.8                   41.8                47.1                5.5                55.2      0.0         True
  -5.5   False        742              44.2                   40.6                42.5                1.4                55.8      0.0         True
  -5.0   False        948              44.3                   39.0                41.6                2.4                55.7      0.0         True
  -4.5   False       1177              46.2                   38.9                39.5                0.4                53.8      0.0         True
  -4.0   False       1529              45.3                   37.7                40.8                3.0                54.7      0.0         True
  -3.5   False       2025              44.5                   36.6                39.8                3.8                55.5      0.0         True
  -3.0   False       2662              45.9                   36.5                38.5                2.5                54.1      0.0         True
  -2.5   False       3592              46.5                   36.4                38.1                2.1                53.5      0.0         True
  -2.0   False       4969              47.6                   36.6                38.6                1.8                52.4      0.0         True
  -1.5   False       7215              47.4                   37.1                38.1                0.9                52.6      0.0         True
  -1.0   False      11271              48.0                   37.7                38.0               -0.6                52.0      0.0         True
  -0.5   False      20082              48.2                   38.4                39.8                0.6                51.8      0.0         True
  -0.2   False      27503              48.4                   40.1                40.7                0.0                51.6      0.0         True
   0.0    True      37707              49.0                   42.9                42.7               -0.6                51.0      0.0         True
   0.2    True      45501              50.2                   44.0                43.4               -1.3                49.8      0.4        False
   0.5    True      47736              50.3                   43.5                42.7               -1.6                49.7      0.2        False
   0.8    True      46518              50.2                   43.5                43.0               -1.2                49.8      0.3        False
   1.0    True      38988              49.5                   41.8                42.4                0.5                50.5      0.1        False
   1.2   False      28322              49.5                   38.6                39.1               -0.1                50.5      0.1        False
   1.5   False      20561              49.6                   37.1                37.3               -0.7                50.4      0.3        False
   2.0   False      11828              49.8                   35.4                35.6               -0.7                50.2      0.7        False
   2.5   False       7659              49.0                   34.3                35.1                0.4                51.0      0.1        False
   3.0   False       5329              48.9                   33.6                33.2               -0.9                51.1      0.1        False
   3.5   False       3900              49.2                   32.9                32.5               -1.3                50.8      0.3        False
   4.0   False       2932              49.9                   32.6                32.2               -2.1                50.1      0.9        False
   4.5   False       2237              50.2                   32.7                31.0               -3.6                49.8      0.8        False
   5.0   False       1747              49.2                   32.6                31.0               -3.0                50.8      0.5        False
   5.5   False       1365              47.8                   32.9                32.8               -0.1                52.2      0.1        False
   6.0   False       1070              49.1                   33.6                34.1                1.4                50.9      0.5        False
   6.5   False        858              48.6                   34.0                34.2                1.5                51.4      0.4        False
   7.0   False        692              46.7                   34.4                35.2                2.4                53.3      0.1        False
   7.5   False        540              48.7                   36.5                37.2                1.8                51.3      0.5        False
   8.0   False        438              50.0                   37.6                39.5                2.1                50.0      1.0        False
   8.5   False        372              49.5                   37.3                42.3                8.2                50.5      0.8        False
   9.0   False        302              49.0                   38.8                46.1               11.5                51.0      0.7        False
   9.5   False        257              45.1                   38.5                51.9               17.3                54.9      0.1        False
  10.0   False        205              43.9                   41.0                53.5               17.6                56.1      0.1        False
  10.5   False        167              47.3                   43.2                59.6               21.0                52.7      0.5        False

=== MONTHLY — level reaction summary (min 50 touches) ===
 level  is_key  n_touches  pct_continuation  avg_continuation_pips  avg_reversion_pips  avg_fade_pnl_pips  pct_mean_reversion  p_value  significant
  -1.5   False         74              39.2                  187.0               321.3              142.8                60.8      0.1        False
  -1.0   False        200              43.0                  180.8               221.5               58.6                57.0      0.0         True
  -0.5   False        538              48.1                  181.8               193.1                2.8                51.9      0.4        False
  -0.2   False        866              49.4                  188.3               188.6               -5.3                50.6      0.7        False
   0.0    True       1424              47.1                  192.0               191.2               -0.5                52.9      0.0         True
   0.2    True       1929              49.2                  187.8               196.8               10.0                50.8      0.5        False
   0.5    True       2091              50.0                  193.3               201.2                8.1                50.0      1.0        False
   0.8    True       2024              50.1                  197.6               204.9                8.3                49.9      0.9        False
   1.0    True       1552              51.3                  192.4               189.2               -9.0                48.7      0.3        False
   1.2   False        963              49.5                  175.4               169.3              -10.1                50.5      0.8        False
   1.5   False        563              50.4                  173.8               170.4               -7.1                49.6      0.8        False
   2.0   False        209              44.0                  170.1               206.9               44.8                56.0      0.1        False
   2.5   False         70              44.3                  193.0               260.1              103.8                55.7      0.3        False

Saved CSVs to C:\Users\relli\OneDrive\Documents\Programming\Trading\v2 trading model\MacroFXModel\analysis\output\range_fib_reaction
