[1/26] eurusd...
[2/26] gbpusd...
[3/26] audusd...
[4/26] nzdusd...
[5/26] usdcad...
[6/26] usdchf...
[7/26] eurgbp...
[8/26] euraud...
[9/26] eurcad...
[10/26] eurchf...
[11/26] eurnzd...
[12/26] audnzd...
[13/26] audcad...
[14/26] audchf...
[15/26] gbpaud...
[16/26] gbpcad...
[17/26] gbpchf...
[18/26] gbpnzd...
[19/26] usdjpy...
[20/26] eurjpy...
[21/26] gbpjpy...
[22/26] audjpy...
[23/26] cadjpy...
[24/26] chfjpy...
[25/26] nzdjpy...
[26/26] gold...

=== DAILY — level reaction summary (min 50 touches) ===
 level  is_key  n_touches  pct_continuation  avg_continuation_pips  avg_reversion_pips  avg_fade_pnl_pips  pct_mean_reversion  p_value  significant
  -9.5   False        153              39.2                   56.6                67.3               14.1                60.8      0.0         True
  -9.0   False        177              40.1                   55.4                62.2               12.9                59.9      0.0         True
  -8.5   False        216              44.4                   51.6                53.7                8.2                55.6      0.1        False
  -8.0   False        260              43.8                   49.2                52.5                9.4                56.2      0.0         True
  -7.5   False        320              42.5                   46.3                55.1               15.0                57.5      0.0         True
  -7.0   False        397              42.8                   44.0                53.1               12.6                57.2      0.0         True
  -6.5   False        483              43.5                   42.9                50.8                9.9                56.5      0.0         True
  -6.0   False        596              44.8                   41.8                47.1                5.5                55.2      0.0         True
  -5.5   False        742              44.2                   40.6                42.5                1.4                55.8      0.0         True
  -5.0   False        948              44.3                   39.0                41.6                2.4                55.7      0.0         True
  -4.5   False       1177              46.2                   38.9                39.5                0.4                53.8      0.0         True
  -4.0   False       1529              45.3                   37.7                40.8                3.0                54.7      0.0         True
  -3.5   False       2025              44.5                   36.6                39.8                3.8                55.5      0.0         True
  -3.0   False       2662              45.9                   36.5                38.5                2.5                54.1      0.0         True
  -2.5   False       3592              46.5                   36.4                38.1                2.1                53.5      0.0         True
  -2.0   False       4969              47.6                   36.6                38.6                1.8                52.4      0.0         True
  -1.5   False       7215              47.4                   37.1                38.1                0.9                52.6      0.0         True
  -1.0   False      11271              48.0                   37.7                38.0               -0.6                52.0      0.0         True
  -0.5   False      20082              48.2                   38.4                39.8                0.6                51.8      0.0         True
